Metric,Value
Accuracy,0.8021646557842441
Sensitivity,0.7106678095534948
Specificity,0.9230769230769231
MCC,0.6325715093430918
AUC,0.9463586442708416
F1-Score,0.8035242290748899
MAE,0.19814203679561615
MSE,0.17746637761592865
RMSE,0.42126758434032
